dataset,model,simp_algorithm,performance,"knee(x,y)",time
MiddlePhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,OS,0.640204112535002,"(0.2932911392405063, 0.7083333333333333)",25.8710441
MiddlePhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,RDP,0.488589513413468,"(0.13708860759493674, 0.14728682170542629)",0.5182248
MiddlePhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,VW,0.64350712831563,"(0.24215189873417725, 0.602510460251046)",0.0164214
MiddlePhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,BU,0.5385013870984,"(0.11873417721518989, 0.2009132420091324)",0.2802202
MiddlePhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
MiddlePhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,OS,0.733895862142325,"(0.42860759493670886, 1.0)",25.9069337
MiddlePhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,RDP,0.657299737626508,"(0.13708860759493674, 0.46808510638297873)",0.5205178
MiddlePhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,VW,0.664214958542226,"(0.24215189873417725, 0.5928338762214984)",0.0164796
MiddlePhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,BU,0.605764592242186,"(0.08151898734177214, 0.3820224719101124)",0.2813181
MiddlePhalanxOutlineAgeGroupTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
MiddlePhalanxOutlineAgeGroupTEST_normalized,knn_norm.pkl,OS,0.625700426880048,"(0.6311392405063291, 0.9397227245328511)",26.2225762
MiddlePhalanxOutlineAgeGroupTEST_normalized,knn_norm.pkl,RDP,0.690877352638328,"(0.13708860759493674, 0.5177817962628088)",0.5288057
